id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index
197,1907-06-13T09:18:11,-72.153,-40.055,15.0,6.9,mw,,,25.0,0.28,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1907-06-13T09:18:11,6.8,49.998631074606436,1
258,1922-03-28T03:57:54,-68.0,-21.0,90.0,7.2,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1922-03-28T03:57:54,6.8,49.998631074606436,1
331,1927-11-21T23:12:34,-72.686,-44.861,15.0,7.0,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1927-11-21T23:12:34,6.8,49.998631074606436,1
669,1949-04-25T13:55:00,-69.107,-19.753,69.6,7.2,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1949-04-25T13:55:00,6.8,49.998631074606436,1
729,1953-07-31T22:57:36,-69.905,-34.25,15.0,6.0,mw,,,3.8,0.73,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1953-07-31T22:57:36,6.0,25.998631074606433,2
767,1955-07-28T01:59:34,-72.026,-40.8,15.0,6.1,mw,,,25.0,0.27,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1955-07-28T01:59:34,6.0,25.998631074606433,2
804,1957-09-06T00:17:55,-68.0,-20.0,100.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1957-09-06T00:17:55,6.0,25.998631074606433,2
835,1958-09-04T21:51:16,-69.958,-33.832,15.0,6.8,mw,,,3.8,0.22,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1958-09-04T21:51:16,6.0,25.998631074606433,2
918,1960-06-02T05:58:07,-74.058,-46.215,15.0,6.1,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1960-06-02T05:58:07,6.0,25.998631074606433,2
922,1960-06-06T05:55:49,-72.889,-45.785,15.0,7.7,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1960-06-06T05:55:49,6.0,25.998631074606433,2
1001,1961-11-09T04:19:42,-67.9,-22.9,84.0,6.3,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1961-11-09T04:19:42,6.0,25.998631074606433,2
1035,1962-09-29T05:21:50,-68.0,-20.0,26.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_shallow,,intraarc,1962-09-29T05:21:50,6.0,25.998631074606433,2
